TEST;T_SEQ;T_PAR2;SPEEDUP2;T_PAR4;SPEEDUP4;T_PAR6;SPEEDUP6;T_PAR8;SPEEDUP8;T_PAR10;SPEEDUP10;T_PAR12;SPEEDUP12;T_PAR14;SPEEDUP14;T_PAR16;SPEEDUP16;
1000;47.434;37.007;1.282;18.244;2.600;12.590;3.768;9.810;4.835;8.386;5.656;7.466;6.353;7.062;6.717;7.676;6.180;
2000;123.709;74.681;1.656;49.453;2.502;34.407;3.595;31.887;3.880;33.184;3.728;30.533;4.052;29.972;4.127;28.446;4.349;
3000;256.729;147.451;1.741;94.135;2.727;73.513;3.492;66.758;3.846;52.560;4.884;58.407;4.396;57.932;4.432;51.373;4.997;
