TEST;T_SEQ;T_PAR2;SPEEDUP2;T_PAR4;SPEEDUP4;T_PAR6;SPEEDUP6;T_CUDA;SPEEDUP_CUDA;T_CUDA_COLOR;SPEEDUP_CUDA_COLOR
1000;4.019;2.334;1.722;1.305;3.080;0.931;4.317;0.164;24.549;0.233;17.254
2000;15.828;8.976;1.763;5.261;3.008;3.983;3.974;0.250;63.411;0.452;35.049
3000;29.278;16.639;1.760;9.023;3.245;6.852;4.273;0.374;78.228;0.871;33.627
4000;42.476;23.151;1.835;12.738;3.335;9.880;4.299;0.501;84.846;9.513;4.465
5000;55.648;29.770;1.869;16.850;3.303;13.013;4.276;0.657;84.702;11.201;4.968
6000;68.503;36.438;1.880;20.612;3.323;16.273;4.210;0.812;84.374;12.058;5.681
7000;80.400;43.485;1.849;24.288;3.310;19.326;4.160;0.992;81.024;;
