TEST;T_SEQ;T_PAR2;SPEEDUP2;T_PAR4;SPEEDUP4;T_PAR6;SPEEDUP6;T_CUDA;SPEEDUP_CUDA;T_CUDA_COLOR;SPEEDUP_CUDA_COLOR
200;2.613;1.313;1.991;0.658;3.974;0.459;5.697;0.142;18.399;0.136;19.245
400;5.467;2.800;1.953;1.429;3.825;0.990;5.523;0.233;23.442;0.310;17.657
600;8.606;4.514;1.907;2.267;3.797;1.602;5.372;0.299;28.746;0.463;18.576
800;11.659;6.253;1.865;3.339;3.492;2.356;4.950;0.403;28.927;0.615;18.947
1000;15.932;9.586;1.662;5.168;3.083;3.770;4.226;0.499;31.917;9.446;1.687
1200;22.700;14.501;1.565;7.708;2.945;5.384;4.216;0.622;36.503;11.766;1.929
1400;31.990;20.285;1.577;10.902;2.934;7.781;4.111;0.722;44.325;11.131;2.874
1600;42.638;27.080;1.575;14.937;2.855;10.366;4.113;0.867;49.185;;
