TEST;T_SEQ;T_PAR2;SPEEDUP2;T_PAR4;SPEEDUP4;T_PAR6;SPEEDUP6;T_CUDA;SPEEDUP_CUDA;T_CUDA_COLOR;SPEEDUP_CUDA_COLOR
1000;4.876;2.403;2.029;1.266;3.850;1.002;4.864;0.155;31.504;0.250;19.533
2000;15.967;9.816;1.627;5.182;3.081;3.981;4.010;0.249;64.025;0.469;34.071
3000;29.360;16.640;1.764;9.234;3.180;7.282;4.032;0.376;78.155;0.891;32.961
4000;42.699;23.370;1.827;13.021;3.279;10.064;4.243;0.503;84.818;7.324;5.830
5000;55.427;29.794;1.860;17.354;3.194;13.327;4.159;0.648;85.553;9.090;6.098
6000;68.203;36.419;1.873;23.646;2.884;16.812;4.057;0.791;86.221;9.339;7.303
