TEST;T_SEQ;T_CUDA;SPEEDUP_CUDA;T_CUDA_MEMCPY;SPEEDUP_CUDA_MEMCPY
1000;15.658;0.500;31.317;1.145;13.675
1200;22.440;0.618;36.307;1.734;12.943
1400;31.776;0.718;44.263;1.884;16.865
1600;42.897;0.850;50.476;2.413;17.775
1800;53.682;0.959;55.978;2.799;19.181
2000;65.263;1.156;56.448;7.591;8.598
2200;76.560;1.234;62.020;12.665;6.045
2400;90.076;1.388;64.909;25.646;3.512
2600;100.816;1.562;64.524;28.028;3.597
2800;111.442;1.731;64.397;31.430;3.546
