TEST;T_SEQ;T_CUDA;SPEEDUP_CUDA;T_CUDA_MEMCPY;SPEEDUP_CUDA_MEMCPY
1000;4.085;0.149;27.388;0.317;12.878
2000;15.906;0.251;63.435;0.630;25.259
3000;29.199;0.376;77.673;0.946;30.866
4000;42.481;0.502;84.542;1.500;28.313
5000;55.495;0.650;85.418;2.043;27.162
6000;68.166;0.824;82.696;5.493;12.410
7000;81.380;1.015;80.200;3.566;22.822
8000;95.510;1.217;78.489;3.955;24.152
9000;107.711;1.430;75.339;14.556;7.400
10000;119.553;1.566;76.343;25.088;4.765
