TEST_P;TEST_C;T_SEQ;T_PAR;SPEEDUP
100;50;1.067;0.106;10.066
100;500;2.625;0.443;5.926
1000;50;11.061;0.979;11.298
1000;500;23.820;3.598;6.620
10000;50;108.643;106.181;1.023
10000;500;273.588;118.353;2.312
