TEST_P;TEST_C;T_SEQ;T_PAR;SPEEDUP
100;50;0.349;0.045;7.756
100;500;1.404;0.180;7.800
1000;50;3.332;0.326;10.221
1000;500;14.071;1.701;8.272
10000;50;33.372;3.257;10.246
10000;500;151.407;17.310;8.747
