TEST_P;TEST_C;T_SEQ;T_PAR;SPEEDUP
100;50;0.156;0.029;5.379
100;500;0.974;0.148;6.581
1000;50;1.501;0.166;9.042
1000;500;9.744;1.172;8.314
10000;50;15.053;1.627;9.252
10000;500;96.508;11.558;8.350
